Privatelinkresourcetype/Subresource,PrivateDNSzonename,PublicDNSzoneforwarders
"Azure Automation / (Microsoft.Automation/automationAccounts) / Webhook, DSCAndHybridWorker",privatelink.azure-automation.net,azure-automation.net
Azure SQL Database (Microsoft.Sql/servers) / sqlServer,privatelink.database.windows.net,database.windows.net
Azure SQL Managed Instance (Microsoft.Sql/managedInstances),privatelink.{dnsPrefix}.database.windows.net,{instanceName}.{dnsPrefix}.database.windows.net
Azure Synapse Analytics (Microsoft.Synapse/workspaces) / Sql,privatelink.sql.azuresynapse.net,sql.azuresynapse.net
Azure Synapse Analytics (Microsoft.Synapse/workspaces) / SqlOnDemand,privatelink.sql.azuresynapse.net,sqlondemand.azuresynapse.net
Azure Synapse Analytics (Microsoft.Synapse/workspaces) / Dev,privatelink.dev.azuresynapse.net,dev.azuresynapse.net
Azure Synapse Studio (Microsoft.Synapse/privateLinkHubs) / Web,privatelink.azuresynapse.net,azuresynapse.net
"Storage account (Microsoft.Storage/storageAccounts) / Blob (blob, blob_secondary)",privatelink.blob.core.windows.net,blob.core.windows.net
"Storage account (Microsoft.Storage/storageAccounts) / Table (table, table_secondary)",privatelink.table.core.windows.net,table.core.windows.net
"Storage account (Microsoft.Storage/storageAccounts) / Queue (queue, queue_secondary)",privatelink.queue.core.windows.net,queue.core.windows.net
"Storage account (Microsoft.Storage/storageAccounts) / File (file, file_secondary)",privatelink.file.core.windows.net,file.core.windows.net
"Storage account (Microsoft.Storage/storageAccounts) / Web (web, web_secondary)",privatelink.web.core.windows.net,web.core.windows.net
"Azure Data Lake File System Gen2 (Microsoft.Storage/storageAccounts) / Data Lake File System Gen2 (dfs, dfs_secondary)",privatelink.dfs.core.windows.net,dfs.core.windows.net
Azure Cosmos DB (Microsoft.AzureCosmosDB/databaseAccounts) / Sql,privatelink.documents.azure.com,documents.azure.com
Azure Cosmos DB (Microsoft.AzureCosmosDB/databaseAccounts) / MongoDB,privatelink.mongo.cosmos.azure.com,mongo.cosmos.azure.com
Azure Cosmos DB (Microsoft.AzureCosmosDB/databaseAccounts) / Cassandra,privatelink.cassandra.cosmos.azure.com,cassandra.cosmos.azure.com
Azure Cosmos DB (Microsoft.AzureCosmosDB/databaseAccounts) / Gremlin,privatelink.gremlin.cosmos.azure.com,gremlin.cosmos.azure.com
Azure Cosmos DB (Microsoft.AzureCosmosDB/databaseAccounts) / Table,privatelink.table.cosmos.azure.com,table.cosmos.azure.com
Azure Batch (Microsoft.Batch/batchAccounts) / batchAccount,privatelink.{region}.batch.azure.com,{region}.batch.azure.com
Azure Database for PostgreSQL - Single server (Microsoft.DBforPostgreSQL/servers) / postgresqlServer,privatelink.postgres.database.azure.com,postgres.database.azure.com
Azure Database for MySQL (Microsoft.DBforMySQL/servers) / mysqlServer,privatelink.mysql.database.azure.com,mysql.database.azure.com
Azure Database for MariaDB (Microsoft.DBforMariaDB/servers) / mariadbServer,privatelink.mariadb.database.azure.com,mariadb.database.azure.com
Azure Key Vault (Microsoft.KeyVault/vaults) / vault,privatelink.vaultcore.azure.net,vault.azure.net
Azure Key Vault (Microsoft.KeyVault/vaults) / vault,privatelink.vaultcore.azure.net,vaultcore.azure.net
Azure Key Vault (Microsoft.KeyVault/managedHSMs) / Managed HSMs,privatelink.managedhsm.azure.net,managedhsm.azure.net
